feature,mean_abs_shap
discharge_disposition_id,0.23322852
inpatient_ratio,0.15394069
number_inpatient,0.14455943
diag_1_cat,0.07138234
prior_visits,0.04991711
age_num,0.043280162
number_diagnoses,0.04302067
diabetesMed,0.0402126
procedures_per_day,0.039648872
num_medications,0.033700094
time_in_hospital,0.029237296
number_emergency,0.028644448
num_lab_procedures,0.028540088
diag_2_cat,0.027784089
medical_specialty,0.02565271
metformin,0.024816865
meds_per_diagnosis,0.024755266
diag_3_cat,0.021756373
labs_per_day,0.021498417
n_meds_active,0.020771893
A1Cresult,0.018332565
admission_source_id,0.014560389
admission_type_id,0.011429595
n_meds_down,0.010637444
insulin_active,0.009913368
gender,0.008994033
high_prior_inpatient,0.0076836883
insulin_changed,0.007360283
race,0.0072484864
n_meds_changed,0.0071006003
insulin,0.0070813834
glipizide,0.006413356
num_procedures,0.0056224926
number_outpatient,0.0050555994
glimepiride,0.004887866
pioglitazone,0.0042565316
change,0.0029171896
glyburide,0.0026914561
rosiglitazone,0.0011909604
n_meds_up,0.001066185
repaglinide,0.000990193
max_glu_serum,0.00095699425
acarbose,0.0005129159
glyburide-metformin,0.00036687037
nateglinide,0.00016383774
chlorpropamide,0.00012229121
acetohexamide,0.0
tolbutamide,0.0
metformin-rosiglitazone,0.0
miglitol,0.0
metformin-pioglitazone,0.0
glipizide-metformin,0.0
glimepiride-pioglitazone,0.0
troglitazone,0.0
tolazamide,0.0
examide,0.0
citoglipton,0.0
